2.7e-07, 0
1e-07, 3
1e-07, 0
8e-08, 1
8e-08, 6
1e-07, 5
7e-08, 6
8e-08, 2
7e-08, 8
7e-08, 6
9e-08, 16
6e-08, 11
8e-08, 13
6e-08, 11
7e-08, 13
9e-08, 14
6e-08, 9
8e-08, 9
7e-08, 23
7e-08, 22
8e-08, 18
7e-08, 21
9e-08, 25
7e-08, 27
7e-08, 36
9e-08, 25
7e-08, 38
7e-08, 30
9e-08, 35
7e-08, 26
9e-08, 34
7e-08, 28
7e-08, 31
8e-08, 20
7e-08, 32
9e-08, 39
7e-08, 25
7e-08, 30
9e-08, 60
7e-08, 36
9e-08, 52
7e-08, 46
7e-08, 38
9e-08, 50
8e-08, 55
7e-08, 41
8e-08, 26
7e-08, 29
9e-08, 42
7e-08, 32
7e-08, 35
9e-08, 47
7e-08, 30
9e-08, 31
8e-08, 54
7e-08, 51
9e-08, 70
8e-08, 58
9e-08, 48
7e-08, 40
7e-08, 40
9e-08, 58
7e-08, 47
9e-08, 57
7e-08, 34
7e-08, 30
9e-08, 40
8e-08, 44
7e-08, 50
9e-08, 37
7e-08, 36
9e-08, 42
8e-08, 51
7e-08, 36
9e-08, 43
7e-08, 27
9e-08, 56
7e-08, 26
8e-08, 52
9e-08, 56
7e-08, 44
9e-08, 52
7e-08, 42
8e-08, 59
9e-08, 45
7e-08, 43
9e-08, 51
8e-08, 53
7e-08, 35
9e-08, 58
8e-08, 56
8e-08, 62
9e-08, 73
8e-08, 43
9e-08, 53
7e-08, 34
7e-08, 63
9e-08, 53
7e-08, 38
9e-08, 51
8e-08, 67
8e-08, 58
9e-08, 48
8e-08, 71
9e-08, 51
8e-08, 56
7e-08, 27
9e-08, 43
7e-08, 31
7e-08, 48
9e-08, 39
7e-08, 47
1e-07, 54
7e-08, 50
7e-08, 38
9e-08, 47
7e-08, 37
9e-08, 40
7e-08, 48
7e-08, 26
9e-08, 24
8e-08, 44
9e-08, 58
7e-08, 34
7e-08, 38
9e-08, 40
8e-08, 51
9e-08, 60
8e-08, 43
8e-08, 54
9e-08, 56
8e-08, 46
7e-08, 35
9e-08, 41
8e-08, 58
9e-08, 59
7e-08, 38
8e-08, 50
9e-08, 46
8e-08, 46
9e-08, 39
7e-08, 32
7e-08, 28
9e-08, 35
7e-08, 42
9e-08, 27
7e-08, 32
7e-08, 35
9e-08, 43
8e-08, 38
9e-08, 52
8e-08, 63
7e-08, 30
9e-08, 48
7e-08, 45
7e-08, 43
9e-08, 59
7e-08, 42
9e-08, 63
7e-08, 32
7e-08, 58
9e-08, 57
9e-08, 35
9e-08, 36
7e-08, 39
7e-08, 79
9e-08, 58
7e-08, 73
9e-08, 52
7e-08, 38
7e-08, 49
9e-08, 68
7e-08, 37
7e-08, 58
9e-08, 52
7e-08, 72
9e-08, 75
1e-07, 81
8e-08, 75
1.1e-07, 76
7e-08, 57
9e-08, 79
8e-08, 102
8e-08, 85
9e-08, 86
8e-08, 96
8e-08, 80
9e-08, 77
8e-08, 92
9e-08, 123
8e-08, 112
8e-08, 97
1e-07, 135
8e-08, 127
9e-08, 91
8e-08, 129
8e-08, 146
1e-07, 173
8e-08, 120
1e-07, 157
8e-08, 143
8e-08, 143
1e-07, 204
8e-08, 145
1e-07, 265
8e-08, 225
8e-08, 216
1e-07, 259
8e-08, 232
8e-08, 211
1e-07, 325
9e-08, 373
1e-07, 251
9e-08, 389
8e-08, 292
1e-07, 367
9e-08, 375
1e-07, 382
9e-08, 407
9e-08, 440
1e-07, 405
8e-08, 413
1e-07, 410
9e-08, 476
9e-08, 560
1.1e-07, 507
9e-08, 394
1e-07, 796
1.1e-07, 678
1e-07, 888
1.2e-07, 892
1e-07, 819
1e-07, 782
1.2e-07, 911
1e-07, 856
1.1e-07, 935
1.1e-07, 1430
1.1e-07, 1242
1.3e-07, 1213
1.2e-07, 1703
1.2e-07, 937
1.2e-07, 1761
1.5e-07, 2886
1.3e-07, 1340
1.2e-07, 1521
1.2e-07, 1285
1.2e-07, 1904
1.2e-07, 1611
1.5e-07, 2105
1.4e-07, 2489
1.2e-07, 1669
1.5e-07, 2371
1.4e-07, 2533
1.7e-07, 3045
1.3e-07, 2187
3.1e-07, 9337
2.6e-07, 6778
2.9e-07, 8609
3.7e-07, 10846
1.86e-06, 15253
3.6e-07, 9897
3.8e-07, 11898
4.9e-07, 15546
3.9e-07, 12405
3.5e-07, 10739
3.9e-07, 11796
3.4e-07, 10420
2.9e-07, 8404
4.4e-07, 13705
5.5e-07, 18827
5.5e-07, 17817
3.4e-07, 10558
4.2e-07, 13515
5.6e-07, 18366
3.7e-07, 11910
5.7e-07, 18867
6.3e-07, 21781
4.1e-07, 13364
5.9e-07, 19459
8.3e-07, 30270
6e-07, 19967
7e-07, 24136
4.7e-07, 15633
4.2e-07, 13144
5.6e-07, 19314
4.7e-07, 14853
5.1e-07, 17365
3.9e-07, 12598
5.3e-07, 17398
4e-07, 12664
3.2e-07, 9716
4.5e-07, 14209
4.4e-07, 14394
3.9e-07, 11808
3e-07, 8744
3.5e-07, 10775
2.4e-07, 5639
3e-07, 8882
3.7e-07, 10754
3.6e-07, 11127
2.8e-07, 7928
2.5e-07, 5914
2.9e-07, 8310
2.2e-07, 4899
1.9e-07, 4304
3.5e-07, 10929
3.7e-07, 10702
2.7e-07, 7442
1.5e-07, 2010
1.5e-07, 2977
